1420042443.641527,384,537,543,526,448,2708
1420042444.658617,379,553,541,520,450,2718
1420042445.680583,382,555,541,504,428,2713
1420042446.692265,379,556,542,492,451,2706
1420042447.704397,381,555,544,512,450,2708
1420042448.717627,382,557,544,524,454,2712
1420042449.728182,365,553,544,501,452,2720
1420042450.739827,384,525,540,508,452,2703
1420042451.751413,382,552,541,502,453,2711
1420042452.762901,380,554,542,502,453,2711
1420042453.78175,381,532,538,502,452,2712
1420042454.792996,382,551,544,503,430,2709
1420042455.804165,379,527,543,511,451,2711
1420042456.815943,383,549,544,511,453,2710
1420042457.827364,382,554,536,508,449,2708
1420042458.839784,383,544,539,506,451,2709
1420042459.850899,381,549,540,511,449,2712
1420042460.862528,381,549,541,506,449,2712
1420042461.873684,363,544,544,504,452,2709
1420042462.884915,384,553,530,508,448,2708
1420042463.897378,393,551,519,500,453,2713
1420042464.908746,380,548,543,501,451,2709
1420042465.920337,387,538,539,505,449,2709
1420042466.932124,388,543,544,512,452,2719
1420042467.944166,375,547,543,510,449,2707
